TIPO,DATA,NUMNT,SERIE,CHAVE,CODIGO,DESCRICAO,QTDE,PRECO_UNIT,TOTAL
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891595000116,"ROLO ESPUMA LISO CINZA 5CM C/CABO ROMA/DTOOLS","12.000","2.440","29.320"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380103119,"PINCEL ATLAS 396 40MM = 1.1/2"" LARANJA","12.000","4.060","48.670"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,5239,"GESSO COMUM 1KG","20.000","2.680","53.670"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891595002196,"ROLO LÃ NATURAL VELUDO 9CM ROMA (EPÓXI)","5.000","6.840","34.200"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435052831,"LIZFLEX SOBREP 2 TOMADAS 3P 10A 250V COMPL TRAMO","2.000","11.430","22.850"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143445825,"ARCO SERRA AJUSTÁVEL PRO P/LAMINA AÇO 12"" DTOOLS","1.000","27.990","27.990"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896689114274,"ANTENA DIGITAL INTERNA B.MAG 3M BRASFORMA","2.000","19.610","39.230"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,0736532764386,"TAMPA LATA TINTA PVC 3,6L (REUTILIZÁVEL)","1.000","13.190","13.190"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435052190,"LIZFLEX SOBREP CAIXA C/TAMPA P/1 MÓDULO TRAMO","5.000","5.130","25.630"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143446365,"CHAVE COMBINADA BOCA/ESTRELA 17MM DTOOLS","1.000","12.010","12.010"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891960876186,"BÓIA CAIXA DÁGUA 3/4 RM AMANCO","2.000","9.760","19.520"
